Estado;Sigla;Ano;Seguranca Publica Real;Educacao Real;Salário médio real;Desemprego;Tx de mortes violentas;População
Acre;AC;2013;371661177.6;857385697.7;1646;8.4;27.69;776463
Acre;AC;2014;412349943.8;856196174.8;1581.653695;7.9;25.82;790101
Acre;AC;2015;354750384.1;788389932.2;1489.406472;8.8;29.12;803513
Acre;AC;2016;345980702.1;781317690.5;1285.450128;10.3;29.75;816687
Alagoas;AL;2013;948730236.2;946147596.4;1250;10.2;68.86;3300935
Alagoas;AL;2014;985595915.5;1002443143;1291.260949;9.5;66.27;3321730
Alagoas;AL;2015;876353075.7;845895770.1;1113.233686;11.1;54.12;3340932
Alagoas;AL;2016;818870900.6;551132313;1049.770956;14.1;55.89;3358963
Amapá;AP;2013;34833269.39;648448224.6;1946;12.3;33.33;734996
Amapá;AP;2014;50365204.3;779454253.3;1863.5884;12.5;36.49;750912
Amapá;AP;2015;307084158.9;646254389.6;1713.581677;10.5;32.61;766679
Amapá;AP;2016;251663891.5;541681930.7;1573.857521;15.6;49.60;782295
Amazonas;AM;2013;1068175858;1698370094;1820;9.8;25.87;3807921
Amazonas;AM;2014;1231958581;1882176238;1703.825401;8.4;31.00;3873743
Amazonas;AM;2015;1123464301;1799593971;1496.19966;9.2;36.74;3938336
Amazonas;AM;2016;1100809951;1653368512;1247.901243;13.7;29.41;4001667
Bahia;BA;2013;2766906212;3752400935;1327;11.3;40.06;15044137
Bahia;BA;2014;3166197282;3944256422;1313.815726;9.5;42.09;15126371
Bahia;BA;2015;3057775181;3824631840;1114.082834;11;41.26;15203334
Bahia;BA;2016;3255052501;3751967614;1028.20032;15.6;46.54;15276566
Ceará;CE;2013;1393563093;2294729689;1326;7.6;50.48;8778576
Ceará;CE;2014;1554229550;2370655610;1232.054661;7;50.79;8842791
Ceará;CE;2015;1488609693;2126912310;1149.747071;8.7;46.38;8904459
Ceará;CE;2016;1500025280;2214843049;1052.167693;11.6;39.78;8963663
Distrito Federal;DF;2013;577571477.9;3690767767;3761;8.6;26.63;2789761
Distrito Federal;DF;2014;676007536.5;3824374791;3545.798807;9.3;26.89;2852372
Distrito Federal;DF;2015;487881586.6;5252104775;3250.540465;10;23.81;2914830
Distrito Federal;DF;2016;478825837.9;3917776806;2819.362027;11.7;22.13;2977216
Espírito Santo;ES;2013;941962732.6;1247662874;1905;6.5;42.74;3839366
Espírito Santo;ES;2014;1098645973;1348886184;1868.287312;6.7;41.85;3885049
Espírito Santo;ES;2015;1027860112;1037289796;1657.537876;8.8;37.20;3929911
Espírito Santo;ES;2016;1009569029;932863427.6;1503.553226;12;32.61;3973697
Goiás;GO;2013;1458265195;2843929958;1959;5.4;43.11;6434048
Goiás;GO;2014;1967559052;3381416921;1927.4936;5.8;43.71;6523222
Goiás;GO;2015;2272545832;3054670285;1649.895539;7.2;46.20;6610681
Goiás;GO;2016;2175664493;3088053816;1489.172802;10.3;43.82;6695855
